date,close
02-12-20,215.37
03-12-20,214.24
04-12-20,214.36
07-12-20,214.29
08-12-20,216.01
09-12-20,211.8
10-12-20,210.52
11-12-20,213.26
14-12-20,214.2
15-12-20,214.13
16-12-20,219.28
17-12-20,219.42
18-12-20,218.59
21-12-20,222.59
22-12-20,223.94
23-12-20,221.02
24-12-20,222.75
28-12-20,224.96
29-12-20,224.15
30-12-20,221.68
31-12-20,222.42
04-01-21,217.69
05-01-21,217.9
06-01-21,212.25
07-01-21,218.29
08-01-21,219.62
11-01-21,217.49
12-01-21,214.93
13-01-21,216.34
14-01-21,213.02
15-01-21,212.65
19-01-21,216.44
20-01-21,224.34
21-01-21,224.97
22-01-21,225.95
25-01-21,229.53
26-01-21,232.33
27-01-21,232.9
28-01-21,238.93
29-01-21,231.96
01-02-21,239.65
02-02-21,239.51
03-02-21,243
04-02-21,242.01
05-02-21,242.2
08-02-21,242.47
09-02-21,243.77
10-02-21,242.82
11-02-21,244.49
12-02-21,244.99
16-02-21,243.7
17-02-21,244.2
18-02-21,243.79
19-02-21,240.97
22-02-21,234.51
23-02-21,233.27
24-02-21,234.55
25-02-21,228.99
26-02-21,232.38
01-03-21,236.94
02-03-21,233.87
03-03-21,227.56
04-03-21,226.73
05-03-21,231.6
08-03-21,227.39
09-03-21,233.78
10-03-21,232.42
11-03-21,237.13
12-03-21,235.75
15-03-21,234.81
16-03-21,237.71
17-03-21,237.04
18-03-21,230.72
19-03-21,230.35
22-03-21,235.99
23-03-21,237.58
24-03-21,235.46
25-03-21,232.34
26-03-21,236.48
29-03-21,235.24
30-03-21,231.85
31-03-21,235.77
01-04-21,242.35
05-04-21,249.07
06-04-21,247.86
07-04-21,249.9
08-04-21,253.25
09-04-21,255.85
12-04-21,255.91
13-04-21,258.49
14-04-21,255.59
15-04-21,259.5
16-04-21,260.74
19-04-21,258.74
20-04-21,258.26
21-04-21,260.58
22-04-21,257.17
23-04-21,261.15
26-04-21,261.55
27-04-21,261.97
28-04-21,254.56
29-04-21,252.51
30-04-21,252.18
03-05-21,251.86
04-05-21,247.79
05-05-21,246.47
06-05-21,249.73
07-05-21,252.46
10-05-21,247.18
11-05-21,246.23
12-05-21,239
13-05-21,243.03
14-05-21,248.15
17-05-21,245.18
18-05-21,243.08
19-05-21,243.12
20-05-21,246.48
21-05-21,245.17
24-05-21,250.78
25-05-21,251.72
26-05-21,251.49
27-05-21,249.31
28-05-21,249.68
01-06-21,247.4
02-06-21,247.3
03-06-21,245.71
04-06-21,250.79
07-06-21,253.81
08-06-21,252.57
09-06-21,253.59
10-06-21,257.24
11-06-21,257.89
14-06-21,259.89
15-06-21,258.36
16-06-21,257.38
17-06-21,260.9
18-06-21,259.43
21-06-21,262.63
22-06-21,265.51
23-06-21,265.275
24-06-21,266.69
25-06-21,265.02
28-06-21,268.72
29-06-21,271.4
30-06-21,270.9
01-07-21,271.6
02-07-21,277.65
06-07-21,277.66
07-07-21,279.93
08-07-21,277.42
09-07-21,277.94
12-07-21,277.32
13-07-21,280.98
